человек;man,person;m
год;year;m
время;time;n
рука;hand,arm;f
дело;business,affair,matter;n
раз;time,once,since;m
глаз;eye,sight;m
жизнь;life;f
день;day;m
голова;head,mind,brains;f
друг;friend;m
дом;house,home;m
слово;word;n
место;place,seat;n
лицо;face,person;n
сторона;side,party;f
нога;foot,leg;f
дверь;door;f
работа;work,job;f
земля;earth,land,soil;f
конец;end,distance;m
час;hour,time;m
голос;voice;m
город;town,city;m
вода;water;f
стол;table,desk,board;m
ребёнок;child,kid,infant;m
сила;strength,force;f
отец;father;m
женщина;woman;f
машина;car,machine,engine;f
случай;case,occasion,incident;m
ночь;night;f
мир;world,peace;m
вид;appearance,look,view;m
ряд;row,line;m
начало;beginning,origin,source;n
вопрос;question,matter,problem;m
война;war;f
деньги;money;p
минута;minute,moment;f
жена;wife;f
правда;truth;f
страна;country;f
свет;light,world;m
мать;mother;f
товарищ;comrade,friend;m
дорога;road,way,journey;f
окно;window,windowsill;n
комната;room;f
штаны;trousers;p
ножницы;scissors;p
перчатки;gloves;p
валенки;valenki;p
сапоги;boots;p
ботинки;boots;p
